x,y,z,h,wx,wy,wz,a,b,xL,xU,yL,yU,zL,zU,fitQuality,readout,dataType,chn,fov,locusX,locusY,tableOrder,hybe,chnNum,idx,panel,s,fs,fsr,xshift,yshift,zshift,shiftScore,fid_x,fid_y,fid_z,fid_h
831.419036634484,943.482411595432,5580.29914053459,2117.61080379138,128.482748825487,128.482748825487,374.999999999997,1156.99082286136,1035.71233888164,NaN,NaN,NaN,NaN,NaN,NaN,10.1846207329983,27,H,647,11,87372,180036,27,27,1,1,27,102,6543,21585762,243,108,150,1,1080,1188,5250,767.917542030903
867.98338730542,847.096969835196,5024.8392332517,1643.83936849634,148.100637022566,148.100637022566,374.999999999997,840.534296290362,850.896706842298,NaN,NaN,NaN,NaN,NaN,NaN,13.1696961444441,28,H,647,11,87372,180036,28,28,1,1,28,102,6543,21592334,202.5,135,-375,1,1080,1188,5250,767.917542030903
749.039100312864,1015.24765992932,4775.7347279471,1238.13784926445,143.05559518455,143.05559518455,374.999999999997,516.908830604367,740.268354075147,NaN,NaN,NaN,NaN,NaN,NaN,15.4886004979342,29,H,647,11,87372,180036,29,29,1,1,29,102,6543,21598907,135,270,-637.5,1,1080,1188,5250,767.917542030903
758.134696549456,991.98633235712,5111.17150266789,1599.22464914948,161.888993553097,161.888993553097,374.999999999997,458.655454990821,1082.77194432058,NaN,NaN,NaN,NaN,NaN,NaN,33.399230124758,30,H,647,11,87372,180036,30,30,1,1,30,102,6543,21605481,202.5,216,-450,1,1080,1188,5250,767.917542030903
751.780029814931,1224.84820131562,4036.38759799823,381.63286439943,118.341957838576,118.341957838576,374.999999999997,154.964282278929,229.991642796489,NaN,NaN,NaN,NaN,NaN,NaN,22.22616858552,1,H,647,11,88020,178740,1,1,1,1,1,103,6658,22174471,0,0,0,1,972,1188,4800,791.16892619248
777.762672409286,1192.38228440963,3707.95925405477,2109.34789668562,110.060974846772,110.060974846772,374.999999999997,1626.30710770325,680.641579677368,NaN,NaN,NaN,NaN,NaN,NaN,4.50575148288685,2,H,647,11,88020,178740,2,2,1,1,2,103,6658,22181132,-135,135,-450,1,972,1188,4800,791.16892619248
855.158468987301,1403.80092000201,4163.7687126261,1770.98474622984,113.326185105729,113.326185105729,374.999999999997,622.371001095152,1175.00424648656,NaN,NaN,NaN,NaN,NaN,NaN,11.8510464384935,3,H,647,11,88020,178740,3,3,1,1,3,103,6658,22187794,-108,135,-112.5,1,972,1188,4800,791.16892619248
865.486874484136,1277.99692737166,3794.39026594326,1813.89601453178,108.78215057012,108.78215057012,374.999999999997,838.616100065623,1083.59656884954,NaN,NaN,NaN,NaN,NaN,NaN,7.74470947141636,8,H,647,11,88020,178740,8,8,1,1,8,103,6658,22221119,27,189,-450,1,972,1188,4800,791.16892619248
874.219586562424,1106.90914942392,4153.11663966978,2272.72756795548,111.689479691548,111.689479691548,374.999999999997,1220.90148603719,1186.58235357188,NaN,NaN,NaN,NaN,NaN,NaN,6.54014324966903,9,H,647,11,88020,178740,9,9,1,1,9,103,6658,22227787,94.5,108,-450,1,972,1188,4800,791.16892619248
765.72096439033,1018.6150992698,4235.30157298362,2760.46496295549,111.438882163158,111.438882163158,374.999999999997,1883.04825305216,1074.80726488856,NaN,NaN,NaN,NaN,NaN,NaN,4.30849960650903,10,H,647,11,88020,178740,10,10,1,1,10,103,6658,22234456,13.5,135,-262.5,1,972,1188,4800,791.16892619248
841.233462622352,1005.38931438878,3524.77000170439,2094.79699971637,111.754202045487,111.754202045487,342.642619910845,1599.41139515974,734.78972074945,NaN,NaN,NaN,NaN,NaN,NaN,4.29018962945716,11,H,647,11,88020,178740,11,11,1,1,11,103,6658,22241126,54,189,-937.5,1,972,1188,4800,791.16892619248
